day,connectors_tracked,connectors_absent,connectors_out_of_service,out_of_service_ratio,stations_delisted
2026-08-24,561.05,5.78,34.45,0.0608,1.21
2026-08-25,558.91,7.98,40.31,0.0711,1.21
2026-08-26,562.35,11.41,41.19,0.0718,1.19
2026-08-27,562.87,18.56,42.84,0.0737,1.85
2026-08-28,563.73,17.57,44.96,0.0773,1.54
2026-08-29,566.02,17.37,44.17,0.0757,2.91
2026-08-30,566.23,16.95,43.57,0.0747,3.59
2026-08-31,569.19,13.98,40.85,0.07,1.29
2026-09-01,571.11,13.1,41.91,0.0717,0.51
2026-09-02,571.03,13.89,38.99,0.0667,1.67
2026-09-03,575.33,14.33,41.85,0.071,1.53
2026-09-04,576.87,18.22,44.04,0.074,0.97
2026-09-05,571.64,26.6,48.49,0.0811,2.5
2026-09-06,573.31,26.6,55,0.0917,2.01
2026-09-07,575.21,24.93,51.23,0.0854,1.24
2026-09-08,580.16,24.55,47.88,0.0792,1.03
2026-09-09,587,24.5,45.97,0.0752,1.58
2026-09-10,592.34,21.37,63.77,0.1039,1.44
2026-09-11,592.78,21.94,39.46,0.0642,1.97
2026-09-12,589.01,26.69,47.52,0.0772,5.13
2026-09-13,586.83,28.23,50.77,0.0825,5.82
2026-09-14,589.5,26.34,47.75,0.0775,4.92
2026-09-15,589.07,28.73,48.85,0.0791,5.98
2026-09-16,587.17,30.4,49.6,0.0803,5.93
2026-09-17,587.89,31.33,50.66,0.0818,6.11
2026-09-18,592.94,28.75,46.69,0.0751,4.62
2026-09-19,594.02,27.76,46.09,0.0741,3.43
2026-09-20,591.97,29.71,50.89,0.0819,5.16
2026-09-21,592.75,29.06,57.12,0.0919,4.93
